Phase,Feature Name,Description,Importance,Priority,Status,Notes
1. Processing & Ingestion,Cloud Data Connectors,"Direct APIs to pull data directly from Microsoft 365, Google Workspace, Slack, Teams without manual downloads.",,,,
1. Processing & Ingestion,OCR (Optical Character Recognition),"Automatically extracting text from scanned image PDFs, JPEGs, and TIFFs so they become searchable.",,,,
1. Processing & Ingestion,DeNISTing,"Using the NSRL to automatically filter out junk system files (like Windows.dll) from forensic images.",,,,
1. Processing & Ingestion,Advanced Deduplication,"Hashing files (MD5/SHA256) to instantly hide exact duplicates across the entire dataset.",,,,
1. Processing & Ingestion,Audio & Video Transcription,"Auto-generating searchable text transcripts from Zoom recordings, Microsoft Teams meetings, and voicemails.",,,,
2. Early Case Assessment (ECA) & Analytics,TAR / Predictive Coding,"Technology Assisted Review (Continuous Active Learning). The AI predicts how 50,000 documents should be tagged based on a lawyer tagging 500.",,,,
2. Early Case Assessment (ECA) & Analytics,Concept Clustering,"The AI reads the entire dataset and groups documents into thematic bubbles automatically.",,,,
2. Early Case Assessment (ECA) & Analytics,Communications/Network Analysis,"A visual spider-web graph showing who emails whom the most, identifying hidden key players.",,,,
2. Early Case Assessment (ECA) & Analytics,Near-Duplicate Detection,"Grouping documents that are 80-99% similar (e.g., versions 1-10 of a contract draft) to review together.",,,,
3. Review Workflow & Productivity,Native Redaction Tools,"Drawing black boxes over PII or privileged text directly in the viewer, burning the black box into exported files.",,,,
3. Review Workflow & Productivity,PII/PHI Auto-Detection,"Automatically finding credit card numbers, SSNs, and medical data to suggest them for redaction.",,,,
3. Review Workflow & Productivity,Bulk Tagging & Workflows,"Tagging 1,000 search results at once, or assigning batches of 500 documents to specific reviewers.",,,,
3. Review Workflow & Productivity,Visual Email Threading,"A graphical tree view of email conversations showing branches, forwards, and unique versus duplicative replies.",,,,
4. Production & Case Management,Bates Stamping,"Stamping sequential, unique identifiers (e.g., SHERLOCK-0000001) on the bottom right corner of pages for opposing counsel.",,,,
4. Production & Case Management,Production Exports,"Generating formal litigation-ready export packages containing Load Files (.DAT, .OPT), Native files, and TIFF images.",,,,
4. Production & Case Management,Comprehensive Audit Trails,"Tracking every single click, search, and view to maintain a defensible Chain of Custody.",,,,
4. Production & Case Management,Granular Permissions (RBAC),"Setting specific roles (e.g., Admin, Case Manager, Reviewer) so certain users can't delete or view highly confidential files.",,,,
